depth,2018-01-11,2018-02-07,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2020-02-11,2020-03-10,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13
0.0,27.31916736386883,41.355471374094,58.43707034195238,42.28355933224854,41.05394092466769,24.858223655320376,40.47619047619048,21.583603677594507,30.435201050151196,16.65217391304348,14.130434782608695,19.875,11.454545454545451,17.59090909090909,11.363636363636363,10.130434782608695,6.3181818181818175,13.222222222222223,14.925925925925926,6.127659574468085,4.340909090909091,13.519999999999998,3.681818181818181,8.372093023255815,4.369565217391305,14.3125,12.217391304347826,17.959999999999997,8.074074074074074,10.296296296296296,9.26086956521739,13.136363636363637,8.307692307692308,8.18181818181818,9.727272727272728,18.483870967741936,7.904761904761905,7.782608695652174,12.489285714285716,8.642857142857142,16.428571428571427,15.12,8.807692307692308,7.892857142857143,15.272727272727272,8.23809523809524,10.636363636363637,8.75,15.304347826086955,10.966666666666669,7.636363636363637,9.366666666666667,9.391304347826088
0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,23.784057834391906,48.42671414501098,81.16736705548409,42.28355933224854,55.28324617883865,29.249526366636136,34.52380952380952,21.583603677594507,27.644620709901314,19.695652173913043,13.695652173913045,18.208333333333336,10.545454545454543,15.318181818181817,14.545454545454543,11.43478260869565,14.045454545454549,12.851851851851851,11.962962962962964,6.127659574468085,5.477272727272726,12.32,8.454545454545453,5.813953488372093,7.413043478260869,4.104166666666667,13.52173913043478,17.56,12.148148148148149,14.0,10.56521739130435,16.318181818181817,10.615384615384617,10.454545454545451,8.818181818181818,33.32,9.333333333333334,13.434782608695654,14.275,11.5,18.333333333333336,22.75,13.038461538461538,9.321428571428571,21.791666666666668,10.61904761904762,12.0,9.583333333333334,16.608695652173914,11.3,8.545454545454543,13.033333333333331,8.521739130434783
10.0,23.784057834391906,44.8910927595525,40.141953474963415,45.899541975531854,45.20415495713421,26.112881572839164,109.52380952380952,31.27949490110191,43.27187061530064,20.565217391304348,13.695652173913045,16.541666666666668,13.272727272727272,16.68181818181818,14.545454545454543,13.608695652173914,11.318181818181818,9.51851851851852,13.074074074074073,6.127659574468085,5.931818181818181,11.12,4.136363636363637,2.0930232558139537,7.195652173913043,4.3125,15.26086956521739,23.807692307692307,16.22222222222222,17.703703703703702,10.56521739130435,14.045454545454543,11.0,10.454545454545451,9.272727272727272,28.119999999999997,6.476190476190477,19.086956521739133,15.34642857142857,10.071428571428571,22.142857142857142,17.52,10.73076923076923,18.607142857142858,22.208333333333336,10.142857142857144,12.0,12.083333333333334,19.217391304347828,11.966666666666669,10.363636363636363,10.7,11.130434782608695
20.0,23.19487291281241,49.94198045306462,36.81556859005633,44.27234978605436,43.42549180036285,,511.9047619047618,27.287069103187097,36.01636173065096,21.869565217391308,12.391304347826086,13.625000000000002,13.272727272727272,19.40909090909091,16.363636363636363,10.56521739130435,14.954545454545451,9.51851851851852,11.77777777777778,2.5106382978723403,5.704545454545453,18.32,7.090909090909091,6.744186046511628,6.978260869565217,4.729166666666667,13.956521739130434,16.759999999999998,8.444444444444445,10.296296296296296,12.739130434782613,11.318181818181817,9.076923076923077,9.999999999999998,9.272727272727272,33.72,5.523809523809524,12.56521739130435,11.775,12.214285714285715,16.904761904761905,11.52,13.807692307692308,6.464285714285715,12.545454545454543,13.952380952380953,10.636363636363637,12.5,17.91304347826087,10.3,14.454545454545457,3.0333333333333328,9.391304347826088
30.0,22.01650306965344,46.406359067606125,52.33869805295605,56.74748990538179,51.13303214637212,99.51036974768827,58.92857142857143,28.99810873086487,44.3881027514006,27.086956521739133,11.956521739130435,12.375000000000002,12.818181818181818,27.13636363636364,18.63636363636364,10.130434782608695,8.136363636363635,6.925925925925927,11.407407407407408,9.74468085106383,11.84090909090909,9.52,7.090909090909091,7.441860465116279,4.369565217391305,9.9375,10.043478260869566,16.759999999999998,10.666666666666666,12.518518518518515,11.0,18.13636363636364,7.153846153846153,13.18181818181818,11.09090909090909,32.52,7.428571428571429,7.782608695652174,13.560714285714283,8.285714285714285,13.095238095238097,13.52,18.038461538461537,6.464285714285715,10.272727272727272,9.19047619047619,12.454545454545451,12.083333333333334,18.782608695652176,13.3,15.363636363636363,2.7,9.391304347826088
40.0,27.908352285448306,36.30458368058186,58.99146782277023,49.51552461881517,,78.80851410862829,55.95238095238095,41.54573266716858,61.68970086094985,20.565217391304348,14.999999999999998,17.791666666666668,17.363636363636363,19.863636363636363,28.636363636363637,15.782608695652176,8.136363636363635,8.037037037037036,11.77777777777778,5.914893617021276,4.795454545454545,10.72,5.5,5.116279069767442,3.717391304347826,13.895833333333334,10.47826086956522,13.159999999999998,10.296296296296296,12.148148148148149,6.217391304347826,12.681818181818182,9.461538461538462,13.636363636363637,9.272727272727272,47.71999999999999,6.0,9.956521739130435,13.203571428571427,16.142857142857146,15.952380952380954,14.32,13.423076923076923,8.250000000000002,17.999999999999996,11.571428571428571,11.09090909090909,12.083333333333334,19.217391304347828,17.96666666666667,21.26086956521739,13.033333333333331,11.56521739130435
50.0,,,,,,44.3054213768616,67.85714285714286,43.25677229484636,54.99230804435013,25.782608695652176,17.17391304347826,17.791666666666668,25.545454545454543,25.77272727272727,33.63636363636363,20.130434782608692,13.136363636363637,9.148148148148149,12.000000000000002,5.702127659574469,3.8863636363636354,8.72,7.090909090909091,5.813953488372093,3.282608695652174,4.9375,12.217391304347826,15.96,12.518518518518515,14.37037037037037,3.1739130434782608,14.045454545454543,9.846153846153848,10.909090909090908,7.454545454545453,30.12,6.0,7.782608695652174,13.203571428571427,11.142857142857144,22.39130434782609,21.916666666666668,17.26923076923077,5.035714285714287,13.454545454545457,11.095238095238097,9.727272727272728,10.833333333333334,24.92,14.633333333333333,17.34782608695652,16.7,13.739130434782613
60.0,33.80020150124318,38.32493875798672,49.56671064886681,56.74748990538179,49.35436898960075,40.54144762430524,65.47619047619047,42.11607920972784,51.64361163605028,22.73913043478261,21.956521739130437,20.708333333333336,29.63636363636364,33.04545454545455,13.181818181818182,27.086956521739133,11.318181818181818,10.62962962962963,14.185185185185183,6.553191489361702,11.613636363636363,17.92,6.863636363636363,8.604651162790699,4.586956521739131,5.770833333333334,13.956521739130434,17.56,11.037037037037036,12.888888888888888,8.391304347826088,15.863636363636363,14.076923076923078,15.454545454545457,8.818181818181818,42.12,5.047619047619048,8.652173913043478,16.775,11.5,16.428571428571427,21.083333333333336,27.72,9.678571428571429,7.09090909090909,8.714285714285714,22.454545454545453,9.583333333333334,23.72,26.043478260869563,18.65217391304348,23.227272727272727,18.52173913043478
80.0,,,44.57713332150618,63.37679141806786,,38.03213178926765,90.47619047619048,43.25677229484636,46.06245095555052,29.26086956521739,30.217391304347824,29.458333333333336,45.54545454545455,42.13636363636363,18.63636363636364,39.2608695652174,34.49999999999999,14.333333333333332,17.703703703703702,12.085106382978724,18.431818181818183,25.29166666666667,15.499999999999998,13.72093023255814,12.41304347826087,5.562500000000001,19.608695652173918,25.730769230769237,29.217391304347824,28.695652173913047,20.125,23.078260869565216,22.91304347826087,28.826086956521745,28.16666666666667,82.11999999999999,6.476190476190477,8.217391304347826,14.275,9.714285714285714,36.30434782608696,33.166666666666664,25.72,10.035714285714286,12.09090909090909,25.39130434782609,27.954545454545453,14.583333333333334,22.92,18.633333333333336,20.82608695652174,27.77272727272727,18.5
